season,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
1950,1,UK,Silverstone,,1950-05-13 00:00:00,British Grand Prix,conventional,Practice 1,,1950-05-11 00:00:00,Practice 2,,1950-05-11 00:00:00,Practice 3,,1950-05-12 00:00:00,Qualifying,,1950-05-12 00:00:00,Race,,1950-05-13 00:00:00,False
1950,2,Monaco,Monte-Carlo,,1950-05-21 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1950-05-19 00:00:00,Practice 2,,1950-05-19 00:00:00,Practice 3,,1950-05-20 00:00:00,Qualifying,,1950-05-20 00:00:00,Race,,1950-05-21 00:00:00,False
1950,3,USA,Indianapolis,,1950-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1950-05-28 00:00:00,Practice 2,,1950-05-28 00:00:00,Practice 3,,1950-05-29 00:00:00,Qualifying,,1950-05-29 00:00:00,Race,,1950-05-30 00:00:00,False
1950,4,Switzerland,Bern,,1950-06-04 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1950-06-02 00:00:00,Practice 2,,1950-06-02 00:00:00,Practice 3,,1950-06-03 00:00:00,Qualifying,,1950-06-03 00:00:00,Race,,1950-06-04 00:00:00,False
1950,5,Belgium,Spa,,1950-06-18 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1950-06-16 00:00:00,Practice 2,,1950-06-16 00:00:00,Practice 3,,1950-06-17 00:00:00,Qualifying,,1950-06-17 00:00:00,Race,,1950-06-18 00:00:00,False
1950,6,France,Reims,,1950-07-02 00:00:00,French Grand Prix,conventional,Practice 1,,1950-06-30 00:00:00,Practice 2,,1950-06-30 00:00:00,Practice 3,,1950-07-01 00:00:00,Qualifying,,1950-07-01 00:00:00,Race,,1950-07-02 00:00:00,False
1950,7,Italy,Monza,,1950-09-03 00:00:00,Italian Grand Prix,conventional,Practice 1,,1950-09-01 00:00:00,Practice 2,,1950-09-01 00:00:00,Practice 3,,1950-09-02 00:00:00,Qualifying,,1950-09-02 00:00:00,Race,,1950-09-03 00:00:00,False
1951,1,Switzerland,Bern,,1951-05-27 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1951-05-25 00:00:00,Practice 2,,1951-05-25 00:00:00,Practice 3,,1951-05-26 00:00:00,Qualifying,,1951-05-26 00:00:00,Race,,1951-05-27 00:00:00,False
1951,2,USA,Indianapolis,,1951-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1951-05-28 00:00:00,Practice 2,,1951-05-28 00:00:00,Practice 3,,1951-05-29 00:00:00,Qualifying,,1951-05-29 00:00:00,Race,,1951-05-30 00:00:00,False
1951,3,Belgium,Spa,,1951-06-17 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1951-06-15 00:00:00,Practice 2,,1951-06-15 00:00:00,Practice 3,,1951-06-16 00:00:00,Qualifying,,1951-06-16 00:00:00,Race,,1951-06-17 00:00:00,False
1951,4,France,Reims,,1951-07-01 00:00:00,French Grand Prix,conventional,Practice 1,,1951-06-29 00:00:00,Practice 2,,1951-06-29 00:00:00,Practice 3,,1951-06-30 00:00:00,Qualifying,,1951-06-30 00:00:00,Race,,1951-07-01 00:00:00,False
1951,5,UK,Silverstone,,1951-07-14 00:00:00,British Grand Prix,conventional,Practice 1,,1951-07-12 00:00:00,Practice 2,,1951-07-12 00:00:00,Practice 3,,1951-07-13 00:00:00,Qualifying,,1951-07-13 00:00:00,Race,,1951-07-14 00:00:00,False
