season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1956,5,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1956,6,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1956,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1956,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,3,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,4,French Grand Prix,France,Rouen,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,5,British Grand Prix,UK,Liverpool,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,7,Pescara Grand Prix,Italy,Pescara,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1957,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,3,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,4,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,5,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,6,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,7,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,8,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,9,Portuguese Grand Prix,Portugal,Oporto,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,10,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1958,11,Moroccan Grand Prix,Morocco,Casablanca,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,1,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,2,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,3,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,4,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,5,British Grand Prix,UK,Liverpool,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,6,German Grand Prix,Germany,Berlin,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,7,Portuguese Grand Prix,Portugal,Lisbon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1959,9,United States Grand Prix,USA,Florida,,Practice 1,Practice 2,Practice 3,Qualifying,Race
