season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1975,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,14,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,1,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,2,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,3,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,4,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,5,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,7,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,8,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,9,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,10,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,11,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,12,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,14,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1976,16,Japanese Grand Prix,Japan,Oyama,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,4,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,5,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,7,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,8,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,9,French Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,10,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,11,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,13,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,14,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,16,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1977,17,Japanese Grand Prix,Japan,Oyama,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,4,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,5,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,6,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,7,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,8,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,9,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,10,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,11,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,13,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,14,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1978,16,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,4,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,5,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,6,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,7,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,8,French Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,9,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,10,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,11,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,12,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,14,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1979,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,4,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,5,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,7,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,8,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,9,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,10,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,11,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,12,Italian Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,13,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1980,14,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,1,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,3,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,4,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,5,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,7,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,8,French Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,9,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,10,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,11,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,12,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,14,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1981,15,Caesars Palace Grand Prix,USA,Nevada,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,3,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,4,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,5,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,7,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,8,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,9,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,10,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,11,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,12,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,13,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,14,Swiss Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,15,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1982,16,Caesars Palace Grand Prix,USA,Nevada,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,2,United States Grand Prix West,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,3,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,4,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,5,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,6,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,7,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,8,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,9,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,10,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,11,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,12,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,14,European Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1983,15,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,2,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,3,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,4,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,5,French Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,7,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,8,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,9,Dallas Grand Prix,USA,Dallas,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,10,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,11,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,13,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,14,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,15,European Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1984,16,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,2,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,3,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,5,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,6,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,7,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,8,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,9,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,10,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,11,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,12,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,13,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,14,European Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,15,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1985,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,2,Spanish Grand Prix,Spain,Jerez de la Frontera,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,3,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,5,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,6,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,7,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,8,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,9,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,10,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,11,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,14,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,15,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1986,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,2,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,5,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,6,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,7,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,8,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,9,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,10,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,11,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,12,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,13,Spanish Grand Prix,Spain,Jerez de la Frontera,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,14,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,15,Japanese Grand Prix,Japan,Suzuka,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1987,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,2,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,4,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,5,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,6,Detroit Grand Prix,USA,Detroit,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,7,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,8,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,9,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,10,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,11,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,12,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,13,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,14,Spanish Grand Prix,Spain,Jerez de la Frontera,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,15,Japanese Grand Prix,Japan,Suzuka,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1988,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,2,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,4,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,5,United States Grand Prix,USA,Phoenix,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,6,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,7,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,8,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,9,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,10,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,11,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,12,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,13,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,14,Spanish Grand Prix,Spain,Jerez de la Frontera,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,15,Japanese Grand Prix,Japan,Suzuka,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1989,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,1,United States Grand Prix,USA,Phoenix,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,3,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,5,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,6,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,7,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,8,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,9,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,10,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,11,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,12,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,13,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,14,Spanish Grand Prix,Spain,Jerez de la Frontera,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,15,Japanese Grand Prix,Japan,Suzuka,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1990,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,1,United States Grand Prix,USA,Phoenix,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,3,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,5,Canadian Grand Prix,Canada,Montreal,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,6,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,7,French Grand Prix,France,Magny Cours,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,8,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,9,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,10,Hungarian Grand Prix,Hungary,Budapest,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,11,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,12,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,13,Portuguese Grand Prix,Portugal,Estoril,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,14,Spanish Grand Prix,Spain,Montmeló,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,15,Japanese Grand Prix,Japan,Suzuka,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1991,16,Australian Grand Prix,Australia,Adelaide,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,2,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,3,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,4,Spanish Grand Prix,Spain,Montmeló,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,5,San Marino Grand Prix,Italy,Imola,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1992,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
