season,grand_prix,date,winner,constructor,laps,time,url
1966,Italy,04 Sep 1966,Ludovico ScarfiottiSCA,Ferrari,68,1:47:14.800,https://www.formula1.com/en/results/1966/races/241/italy/race-result
1966,United States,02 Oct 1966,Jim ClarkCLA,Lotus BRM,108,2:09:40.100,https://www.formula1.com/en/results/1966/races/242/united-states/race-result
1966,Mexico,23 Oct 1966,John SurteesSUR,Cooper Maserati,65,2:06:35.340,https://www.formula1.com/en/results/1966/races/243/mexico/race-result
1967,South Africa,02 Jan 1967,Pedro RodriguezROD,Cooper Maserati,80,2:05:45.900,https://www.formula1.com/en/results/1967/races/244/south-africa/race-result
1967,Monaco,07 May 1967,Denny HulmeHUL,Brabham Repco,100,2:34:34.300,https://www.formula1.com/en/results/1967/races/245/monaco/race-result
1967,Netherlands,04 Jun 1967,Jim ClarkCLA,Lotus Ford,90,2:14:45.100,https://www.formula1.com/en/results/1967/races/246/netherlands/race-result
1967,Belgium,18 Jun 1967,Dan GurneyGUR,Eagle Weslake,28,1:40:49.400,https://www.formula1.com/en/results/1967/races/247/belgium/race-result
1967,France,02 Jul 1967,Jack BrabhamBRA,Brabham Repco,80,2:13:21.300,https://www.formula1.com/en/results/1967/races/248/france/race-result
1967,Great Britain,15 Jul 1967,Jim ClarkCLA,Lotus Ford,80,1:59:25.600,https://www.formula1.com/en/results/1967/races/249/great-britain/race-result
1967,Germany,06 Aug 1967,Denny HulmeHUL,Brabham Repco,15,2:05:55.700,https://www.formula1.com/en/results/1967/races/250/germany/race-result
1967,Canada,27 Aug 1967,Jack BrabhamBRA,Brabham Repco,90,2:40:40.000,https://www.formula1.com/en/results/1967/races/251/canada/race-result
1967,Italy,10 Sep 1967,John SurteesSUR,Honda,68,1:43:45.000,https://www.formula1.com/en/results/1967/races/252/italy/race-result
1967,United States,01 Oct 1967,Jim ClarkCLA,Lotus Ford,108,2:03:13.200,https://www.formula1.com/en/results/1967/races/253/united-states/race-result
1967,Mexico,22 Oct 1967,Jim ClarkCLA,Lotus Ford,65,1:59:28.700,https://www.formula1.com/en/results/1967/races/254/mexico/race-result
1968,South Africa,01 Jan 1968,Jim ClarkCLA,Lotus Ford,80,1:53:56.600,https://www.formula1.com/en/results/1968/races/255/south-africa/race-result
1968,Spain,12 May 1968,Graham HillHIL,Lotus Ford,90,2:15:20.100,https://www.formula1.com/en/results/1968/races/256/spain/race-result
1968,Monaco,26 May 1968,Graham HillHIL,Lotus Ford,80,2:00:32.300,https://www.formula1.com/en/results/1968/races/257/monaco/race-result
1968,Belgium,09 Jun 1968,Bruce McLarenMCL,McLaren Ford,28,1:40:02.100,https://www.formula1.com/en/results/1968/races/258/belgium/race-result
1968,Netherlands,23 Jun 1968,Jackie StewartSTE,Matra Ford,90,2:46:11.260,https://www.formula1.com/en/results/1968/races/259/netherlands/race-result
1968,France,07 Jul 1968,Jacky IckxICK,Ferrari,60,2:25:40.900,https://www.formula1.com/en/results/1968/races/260/france/race-result
1968,Great Britain,20 Jul 1968,Jo SiffertSIF,Lotus Ford,80,2:01:20.300,https://www.formula1.com/en/results/1968/races/261/great-britain/race-result
1968,Germany,04 Aug 1968,Jackie StewartSTE,Matra Ford,14,2:19:03.200,https://www.formula1.com/en/results/1968/races/262/germany/race-result
1968,Italy,08 Sep 1968,Denny HulmeHUL,McLaren Ford,68,1:40:14.800,https://www.formula1.com/en/results/1968/races/263/italy/race-result
