season,round_num,event_name,country,location,event_date
1993,2,Brazilian Grand Prix,Brazil,São Paulo,
1993,3,European Grand Prix,UK,Castle Donington,
1993,4,San Marino Grand Prix,Italy,Imola,
1993,5,Spanish Grand Prix,Spain,Montmeló,
1993,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1993,7,Canadian Grand Prix,Canada,Montreal,
1993,8,French Grand Prix,France,Magny Cours,
1993,9,British Grand Prix,UK,Silverstone,
1993,10,German Grand Prix,Germany,Hockenheim,
1993,11,Hungarian Grand Prix,Hungary,Budapest,
1993,12,Belgian Grand Prix,Belgium,Spa,
1993,13,Italian Grand Prix,Italy,Monza,
1993,14,Portuguese Grand Prix,Portugal,Estoril,
1993,15,Japanese Grand Prix,Japan,Suzuka,
1993,16,Australian Grand Prix,Australia,Adelaide,
1994,1,Brazilian Grand Prix,Brazil,São Paulo,
1994,2,Pacific Grand Prix,Japan,Okayama,
1994,3,San Marino Grand Prix,Italy,Imola,
1994,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1994,5,Spanish Grand Prix,Spain,Montmeló,
1994,6,Canadian Grand Prix,Canada,Montreal,
1994,7,French Grand Prix,France,Magny Cours,
1994,8,British Grand Prix,UK,Silverstone,
1994,9,German Grand Prix,Germany,Hockenheim,
1994,10,Hungarian Grand Prix,Hungary,Budapest,
1994,11,Belgian Grand Prix,Belgium,Spa,
1994,12,Italian Grand Prix,Italy,Monza,
1994,13,Portuguese Grand Prix,Portugal,Estoril,
1994,14,European Grand Prix,Spain,Jerez de la Frontera,
1994,15,Japanese Grand Prix,Japan,Suzuka,
1994,16,Australian Grand Prix,Australia,Adelaide,
1995,1,Brazilian Grand Prix,Brazil,São Paulo,
1995,2,Argentine Grand Prix,Argentina,Buenos Aires,
1995,3,San Marino Grand Prix,Italy,Imola,
1995,4,Spanish Grand Prix,Spain,Montmeló,
1995,5,Monaco Grand Prix,Monaco,Monte-Carlo,
1995,6,Canadian Grand Prix,Canada,Montreal,
1995,7,French Grand Prix,France,Magny Cours,
1995,8,British Grand Prix,UK,Silverstone,
1995,9,German Grand Prix,Germany,Hockenheim,
1995,10,Hungarian Grand Prix,Hungary,Budapest,
1995,11,Belgian Grand Prix,Belgium,Spa,
1995,12,Italian Grand Prix,Italy,Monza,
1995,13,Portuguese Grand Prix,Portugal,Estoril,
1995,14,European Grand Prix,Germany,Nürburg,
1995,15,Pacific Grand Prix,Japan,Okayama,
1995,16,Japanese Grand Prix,Japan,Suzuka,
1995,17,Australian Grand Prix,Australia,Adelaide,
1996,1,Australian Grand Prix,Australia,Melbourne,
1996,2,Brazilian Grand Prix,Brazil,São Paulo,
1996,3,Argentine Grand Prix,Argentina,Buenos Aires,
1996,4,European Grand Prix,Germany,Nürburg,
1996,5,San Marino Grand Prix,Italy,Imola,
1996,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1996,7,Spanish Grand Prix,Spain,Montmeló,
1996,8,Canadian Grand Prix,Canada,Montreal,
1996,9,French Grand Prix,France,Magny Cours,
1996,10,British Grand Prix,UK,Silverstone,
1996,11,German Grand Prix,Germany,Hockenheim,
1996,12,Hungarian Grand Prix,Hungary,Budapest,
1996,13,Belgian Grand Prix,Belgium,Spa,
1996,14,Italian Grand Prix,Italy,Monza,
1996,15,Portuguese Grand Prix,Portugal,Estoril,
1996,16,Japanese Grand Prix,Japan,Suzuka,
1997,1,Australian Grand Prix,Australia,Melbourne,
1997,2,Brazilian Grand Prix,Brazil,São Paulo,
1997,3,Argentine Grand Prix,Argentina,Buenos Aires,
1997,4,San Marino Grand Prix,Italy,Imola,
1997,5,Monaco Grand Prix,Monaco,Monte-Carlo,
1997,6,Spanish Grand Prix,Spain,Montmeló,
1997,7,Canadian Grand Prix,Canada,Montreal,
1997,8,French Grand Prix,France,Magny Cours,
1997,9,British Grand Prix,UK,Silverstone,
1997,10,German Grand Prix,Germany,Hockenheim,
1997,11,Hungarian Grand Prix,Hungary,Budapest,
1997,12,Belgian Grand Prix,Belgium,Spa,
1997,13,Italian Grand Prix,Italy,Monza,
1997,14,Austrian Grand Prix,Austria,Spielberg,
1997,15,Luxembourg Grand Prix,Germany,Nürburg,
1997,16,Japanese Grand Prix,Japan,Suzuka,
1997,17,European Grand Prix,Spain,Jerez de la Frontera,
1998,1,Australian Grand Prix,Australia,Melbourne,
1998,2,Brazilian Grand Prix,Brazil,São Paulo,
1998,3,Argentine Grand Prix,Argentina,Buenos Aires,
1998,4,San Marino Grand Prix,Italy,Imola,
1998,5,Spanish Grand Prix,Spain,Montmeló,
1998,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1998,7,Canadian Grand Prix,Canada,Montreal,
1998,8,French Grand Prix,France,Magny Cours,
1998,9,British Grand Prix,UK,Silverstone,
1998,10,Austrian Grand Prix,Austria,Spielberg,
1998,11,German Grand Prix,Germany,Hockenheim,
1998,12,Hungarian Grand Prix,Hungary,Budapest,
1998,13,Belgian Grand Prix,Belgium,Spa,
1998,14,Italian Grand Prix,Italy,Monza,
1998,15,Luxembourg Grand Prix,Germany,Nürburg,
1998,16,Japanese Grand Prix,Japan,Suzuka,
1999,1,Australian Grand Prix,Australia,Melbourne,
1999,2,Brazilian Grand Prix,Brazil,São Paulo,
1999,3,San Marino Grand Prix,Italy,Imola,
1999,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1999,5,Spanish Grand Prix,Spain,Montmeló,
1999,6,Canadian Grand Prix,Canada,Montreal,
1999,7,French Grand Prix,France,Magny Cours,
1999,8,British Grand Prix,UK,Silverstone,
1999,9,Austrian Grand Prix,Austria,Spielberg,
1999,10,German Grand Prix,Germany,Hockenheim,
1999,11,Hungarian Grand Prix,Hungary,Budapest,
1999,12,Belgian Grand Prix,Belgium,Spa,
1999,13,Italian Grand Prix,Italy,Monza,
1999,14,European Grand Prix,Germany,Nürburg,
1999,15,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
1999,16,Japanese Grand Prix,Japan,Suzuka,
2000,1,Australian Grand Prix,Australia,Melbourne,
2000,2,Brazilian Grand Prix,Brazil,São Paulo,
2000,3,San Marino Grand Prix,Italy,Imola,
2000,4,British Grand Prix,UK,Silverstone,
2000,5,Spanish Grand Prix,Spain,Montmeló,
2000,6,European Grand Prix,Germany,Nürburg,
2000,7,Monaco Grand Prix,Monaco,Monte-Carlo,
2000,8,Canadian Grand Prix,Canada,Montreal,
2000,9,French Grand Prix,France,Magny Cours,
2000,10,Austrian Grand Prix,Austria,Spielberg,
2000,11,German Grand Prix,Germany,Hockenheim,
2000,12,Hungarian Grand Prix,Hungary,Budapest,
2000,13,Belgian Grand Prix,Belgium,Spa,
2000,14,Italian Grand Prix,Italy,Monza,
2000,15,United States Grand Prix,USA,Indianapolis,
2000,16,Japanese Grand Prix,Japan,Suzuka,
2000,17,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2001,1,Australian Grand Prix,Australia,Melbourne,
2001,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2001,3,Brazilian Grand Prix,Brazil,São Paulo,
2001,4,San Marino Grand Prix,Italy,Imola,
2001,5,Spanish Grand Prix,Spain,Montmeló,
2001,6,Austrian Grand Prix,Austria,Spielberg,
2001,7,Monaco Grand Prix,Monaco,Monte-Carlo,
2001,8,Canadian Grand Prix,Canada,Montreal,
2001,9,European Grand Prix,Germany,Nürburg,
2001,10,French Grand Prix,France,Magny Cours,
2001,11,British Grand Prix,UK,Silverstone,
2001,12,German Grand Prix,Germany,Hockenheim,
2001,13,Hungarian Grand Prix,Hungary,Budapest,
2001,14,Belgian Grand Prix,Belgium,Spa,
2001,15,Italian Grand Prix,Italy,Monza,
2001,16,United States Grand Prix,USA,Indianapolis,
2001,17,Japanese Grand Prix,Japan,Suzuka,
2002,1,Australian Grand Prix,Australia,Melbourne,
2002,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2002,3,Brazilian Grand Prix,Brazil,São Paulo,
2002,4,San Marino Grand Prix,Italy,Imola,
2002,5,Spanish Grand Prix,Spain,Montmeló,
2002,6,Austrian Grand Prix,Austria,Spielberg,
2002,7,Monaco Grand Prix,Monaco,Monte-Carlo,
2002,8,Canadian Grand Prix,Canada,Montreal,
2002,9,European Grand Prix,Germany,Nürburg,
2002,10,British Grand Prix,UK,Silverstone,
2002,11,French Grand Prix,France,Magny Cours,
2002,12,German Grand Prix,Germany,Hockenheim,
2002,13,Hungarian Grand Prix,Hungary,Budapest,
2002,14,Belgian Grand Prix,Belgium,Spa,
2002,15,Italian Grand Prix,Italy,Monza,
2002,16,United States Grand Prix,USA,Indianapolis,
2002,17,Japanese Grand Prix,Japan,Suzuka,
2003,1,Australian Grand Prix,Australia,Melbourne,
2003,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2003,3,Brazilian Grand Prix,Brazil,São Paulo,
2003,4,San Marino Grand Prix,Italy,Imola,
2003,5,Spanish Grand Prix,Spain,Montmeló,
2003,6,Austrian Grand Prix,Austria,Spielberg,
2003,7,Monaco Grand Prix,Monaco,Monte-Carlo,
2003,8,Canadian Grand Prix,Canada,Montreal,
2003,9,European Grand Prix,Germany,Nürburg,
2003,10,French Grand Prix,France,Magny Cours,
2003,11,British Grand Prix,UK,Silverstone,
2003,12,German Grand Prix,Germany,Hockenheim,
2003,13,Hungarian Grand Prix,Hungary,Budapest,
2003,14,Italian Grand Prix,Italy,Monza,
2003,15,United States Grand Prix,USA,Indianapolis,
2003,16,Japanese Grand Prix,Japan,Suzuka,
2004,1,Australian Grand Prix,Australia,Melbourne,
2004,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2004,3,Bahrain Grand Prix,Bahrain,Sakhir,
2004,4,San Marino Grand Prix,Italy,Imola,
2004,5,Spanish Grand Prix,Spain,Montmeló,
2004,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2004,7,European Grand Prix,Germany,Nürburg,
2004,8,Canadian Grand Prix,Canada,Montreal,
2004,9,United States Grand Prix,USA,Indianapolis,
2004,10,French Grand Prix,France,Magny Cours,
2004,11,British Grand Prix,UK,Silverstone,
2004,12,German Grand Prix,Germany,Hockenheim,
2004,13,Hungarian Grand Prix,Hungary,Budapest,
2004,14,Belgian Grand Prix,Belgium,Spa,
2004,15,Italian Grand Prix,Italy,Monza,
2004,16,Chinese Grand Prix,China,Shanghai,
2004,17,Japanese Grand Prix,Japan,Suzuka,
2004,18,Brazilian Grand Prix,Brazil,São Paulo,
2005,1,Australian Grand Prix,Australia,Melbourne,
2005,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2005,3,Bahrain Grand Prix,Bahrain,Sakhir,
2005,4,San Marino Grand Prix,Italy,Imola,
2005,5,Spanish Grand Prix,Spain,Montmeló,
2005,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2005,7,European Grand Prix,Germany,Nürburg,
2005,8,Canadian Grand Prix,Canada,Montreal,
2005,9,United States Grand Prix,USA,Indianapolis,
2005,10,French Grand Prix,France,Magny Cours,
2005,11,British Grand Prix,UK,Silverstone,
2005,12,German Grand Prix,Germany,Hockenheim,
2005,13,Hungarian Grand Prix,Hungary,Budapest,
2005,14,Turkish Grand Prix,Turkey,Istanbul,
2005,15,Italian Grand Prix,Italy,Monza,
2005,16,Belgian Grand Prix,Belgium,Spa,
2005,17,Brazilian Grand Prix,Brazil,São Paulo,
2005,18,Japanese Grand Prix,Japan,Suzuka,
2005,19,Chinese Grand Prix,China,Shanghai,
2006,1,Bahrain Grand Prix,Bahrain,Sakhir,
2006,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2006,3,Australian Grand Prix,Australia,Melbourne,
2006,4,San Marino Grand Prix,Italy,Imola,
2006,5,European Grand Prix,Germany,Nürburg,
2006,6,Spanish Grand Prix,Spain,Montmeló,
2006,7,Monaco Grand Prix,Monaco,Monte-Carlo,
2006,8,British Grand Prix,UK,Silverstone,
2006,9,Canadian Grand Prix,Canada,Montreal,
2006,10,United States Grand Prix,USA,Indianapolis,
2006,11,French Grand Prix,France,Magny Cours,
2006,12,German Grand Prix,Germany,Hockenheim,
2006,13,Hungarian Grand Prix,Hungary,Budapest,
2006,14,Turkish Grand Prix,Turkey,Istanbul,
2006,15,Italian Grand Prix,Italy,Monza,
2006,16,Chinese Grand Prix,China,Shanghai,
2006,17,Japanese Grand Prix,Japan,Suzuka,
2006,18,Brazilian Grand Prix,Brazil,São Paulo,
2007,1,Australian Grand Prix,Australia,Melbourne,
2007,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2007,3,Bahrain Grand Prix,Bahrain,Sakhir,
2007,4,Spanish Grand Prix,Spain,Montmeló,
2007,5,Monaco Grand Prix,Monaco,Monte-Carlo,
2007,6,Canadian Grand Prix,Canada,Montreal,
2007,7,United States Grand Prix,USA,Indianapolis,
2007,8,French Grand Prix,France,Magny Cours,
2007,9,British Grand Prix,UK,Silverstone,
2007,10,European Grand Prix,Germany,Nürburg,
2007,11,Hungarian Grand Prix,Hungary,Budapest,
2007,12,Turkish Grand Prix,Turkey,Istanbul,
2007,13,Italian Grand Prix,Italy,Monza,
2007,14,Belgian Grand Prix,Belgium,Spa,
2007,15,Japanese Grand Prix,Japan,Oyama,
2007,16,Chinese Grand Prix,China,Shanghai,
2007,17,Brazilian Grand Prix,Brazil,São Paulo,
2008,1,Australian Grand Prix,Australia,Melbourne,
2008,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2008,3,Bahrain Grand Prix,Bahrain,Sakhir,
2008,4,Spanish Grand Prix,Spain,Montmeló,
2008,5,Turkish Grand Prix,Turkey,Istanbul,
2008,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2008,7,Canadian Grand Prix,Canada,Montreal,
2008,8,French Grand Prix,France,Magny Cours,
2008,9,British Grand Prix,UK,Silverstone,
2008,10,German Grand Prix,Germany,Hockenheim,
2008,11,Hungarian Grand Prix,Hungary,Budapest,
2008,12,European Grand Prix,Spain,Valencia,
2008,13,Belgian Grand Prix,Belgium,Spa,
2008,14,Italian Grand Prix,Italy,Monza,
2008,15,Singapore Grand Prix,Singapore,Marina Bay,
2008,16,Japanese Grand Prix,Japan,Oyama,
2008,17,Chinese Grand Prix,China,Shanghai,
2008,18,Brazilian Grand Prix,Brazil,São Paulo,
2009,1,Australian Grand Prix,Australia,Melbourne,
2009,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2009,3,Chinese Grand Prix,China,Shanghai,
2009,4,Bahrain Grand Prix,Bahrain,Sakhir,
2009,5,Spanish Grand Prix,Spain,Montmeló,
2009,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2009,7,Turkish Grand Prix,Turkey,Istanbul,
2009,8,British Grand Prix,UK,Silverstone,
2009,9,German Grand Prix,Germany,Nürburg,
2009,10,Hungarian Grand Prix,Hungary,Budapest,
2009,11,European Grand Prix,Spain,Valencia,
2009,12,Belgian Grand Prix,Belgium,Spa,
2009,13,Italian Grand Prix,Italy,Monza,
2009,14,Singapore Grand Prix,Singapore,Marina Bay,
2009,15,Japanese Grand Prix,Japan,Suzuka,
2009,16,Brazilian Grand Prix,Brazil,São Paulo,
2009,17,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2010,1,Bahrain Grand Prix,Bahrain,Sakhir,
2010,2,Australian Grand Prix,Australia,Melbourne,
2010,3,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2010,4,Chinese Grand Prix,China,Shanghai,
2010,5,Spanish Grand Prix,Spain,Montmeló,
2010,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2010,7,Turkish Grand Prix,Turkey,Istanbul,
2010,8,Canadian Grand Prix,Canada,Montreal,
2010,9,European Grand Prix,Spain,Valencia,
2010,10,British Grand Prix,UK,Silverstone,
2010,11,German Grand Prix,Germany,Hockenheim,
2010,12,Hungarian Grand Prix,Hungary,Budapest,
2010,13,Belgian Grand Prix,Belgium,Spa,
2010,14,Italian Grand Prix,Italy,Monza,
2010,15,Singapore Grand Prix,Singapore,Marina Bay,
2010,16,Japanese Grand Prix,Japan,Suzuka,
2010,17,Korean Grand Prix,Korea,Yeongam County,
2010,18,Brazilian Grand Prix,Brazil,São Paulo,
2010,19,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2011,1,Australian Grand Prix,Australia,Melbourne,
2011,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2011,3,Chinese Grand Prix,China,Shanghai,
2011,4,Turkish Grand Prix,Turkey,Istanbul,
2011,5,Spanish Grand Prix,Spain,Montmeló,
2011,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2011,7,Canadian Grand Prix,Canada,Montreal,
2011,8,European Grand Prix,Spain,Valencia,
2011,9,British Grand Prix,UK,Silverstone,
2011,10,German Grand Prix,Germany,Nürburg,
2011,11,Hungarian Grand Prix,Hungary,Budapest,
2011,12,Belgian Grand Prix,Belgium,Spa,
2011,13,Italian Grand Prix,Italy,Monza,
2011,14,Singapore Grand Prix,Singapore,Marina Bay,
2011,15,Japanese Grand Prix,Japan,Suzuka,
2011,16,Korean Grand Prix,Korea,Yeongam County,
2011,17,Indian Grand Prix,India,Uttar Pradesh,
2011,18,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2011,19,Brazilian Grand Prix,Brazil,São Paulo,
2012,1,Australian Grand Prix,Australia,Melbourne,
2012,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2012,3,Chinese Grand Prix,China,Shanghai,
2012,4,Bahrain Grand Prix,Bahrain,Sakhir,
2012,5,Spanish Grand Prix,Spain,Montmeló,
2012,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2012,7,Canadian Grand Prix,Canada,Montreal,
2012,8,European Grand Prix,Spain,Valencia,
2012,9,British Grand Prix,UK,Silverstone,
2012,10,German Grand Prix,Germany,Hockenheim,
2012,11,Hungarian Grand Prix,Hungary,Budapest,
2012,12,Belgian Grand Prix,Belgium,Spa,
2012,13,Italian Grand Prix,Italy,Monza,
2012,14,Singapore Grand Prix,Singapore,Marina Bay,
2012,15,Japanese Grand Prix,Japan,Suzuka,
2012,16,Korean Grand Prix,Korea,Yeongam County,
2012,17,Indian Grand Prix,India,Uttar Pradesh,
2012,18,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2012,19,United States Grand Prix,USA,Austin,
2012,20,Brazilian Grand Prix,Brazil,São Paulo,
2013,1,Australian Grand Prix,Australia,Melbourne,
2013,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2013,3,Chinese Grand Prix,China,Shanghai,
2013,4,Bahrain Grand Prix,Bahrain,Sakhir,
2013,5,Spanish Grand Prix,Spain,Montmeló,
2013,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2013,7,Canadian Grand Prix,Canada,Montreal,
2013,8,British Grand Prix,UK,Silverstone,
2013,9,German Grand Prix,Germany,Nürburg,
2013,10,Hungarian Grand Prix,Hungary,Budapest,
2013,11,Belgian Grand Prix,Belgium,Spa,
2013,12,Italian Grand Prix,Italy,Monza,
2013,13,Singapore Grand Prix,Singapore,Marina Bay,
2013,14,Korean Grand Prix,Korea,Yeongam County,
2013,15,Japanese Grand Prix,Japan,Suzuka,
2013,16,Indian Grand Prix,India,Uttar Pradesh,
2013,17,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2013,18,United States Grand Prix,USA,Austin,
2013,19,Brazilian Grand Prix,Brazil,São Paulo,
2014,1,Australian Grand Prix,Australia,Melbourne,
2014,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2014,3,Bahrain Grand Prix,Bahrain,Sakhir,
2014,4,Chinese Grand Prix,China,Shanghai,
2014,5,Spanish Grand Prix,Spain,Montmeló,
2014,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2014,7,Canadian Grand Prix,Canada,Montreal,
2014,8,Austrian Grand Prix,Austria,Spielberg,
2014,9,British Grand Prix,UK,Silverstone,
2014,10,German Grand Prix,Germany,Hockenheim,
2014,11,Hungarian Grand Prix,Hungary,Budapest,
2014,12,Belgian Grand Prix,Belgium,Spa,
2014,13,Italian Grand Prix,Italy,Monza,
2014,14,Singapore Grand Prix,Singapore,Marina Bay,
2014,15,Japanese Grand Prix,Japan,Suzuka,
2014,16,Russian Grand Prix,Russia,Sochi,
2014,17,United States Grand Prix,USA,Austin,
2014,18,Brazilian Grand Prix,Brazil,São Paulo,
2014,19,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2015,1,Australian Grand Prix,Australia,Melbourne,
2015,2,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2015,3,Chinese Grand Prix,China,Shanghai,
2015,4,Bahrain Grand Prix,Bahrain,Sakhir,
2015,5,Spanish Grand Prix,Spain,Montmeló,
2015,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2015,7,Canadian Grand Prix,Canada,Montreal,
2015,8,Austrian Grand Prix,Austria,Spielberg,
2015,9,British Grand Prix,UK,Silverstone,
2015,10,Hungarian Grand Prix,Hungary,Budapest,
2015,11,Belgian Grand Prix,Belgium,Spa,
2015,12,Italian Grand Prix,Italy,Monza,
2015,13,Singapore Grand Prix,Singapore,Marina Bay,
2015,14,Japanese Grand Prix,Japan,Suzuka,
2015,15,Russian Grand Prix,Russia,Sochi,
2015,16,United States Grand Prix,USA,Austin,
2015,17,Mexican Grand Prix,Mexico,Mexico City,
2015,18,Brazilian Grand Prix,Brazil,São Paulo,
2015,19,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2016,1,Australian Grand Prix,Australia,Melbourne,
2016,2,Bahrain Grand Prix,Bahrain,Sakhir,
2016,3,Chinese Grand Prix,China,Shanghai,
2016,4,Russian Grand Prix,Russia,Sochi,
2016,5,Spanish Grand Prix,Spain,Montmeló,
2016,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2016,7,Canadian Grand Prix,Canada,Montreal,
2016,8,European Grand Prix,Azerbaijan,Baku,
2016,9,Austrian Grand Prix,Austria,Spielberg,
2016,10,British Grand Prix,UK,Silverstone,
2016,11,Hungarian Grand Prix,Hungary,Budapest,
2016,12,German Grand Prix,Germany,Hockenheim,
2016,13,Belgian Grand Prix,Belgium,Spa,
2016,14,Italian Grand Prix,Italy,Monza,
2016,15,Singapore Grand Prix,Singapore,Marina Bay,
2016,16,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2016,17,Japanese Grand Prix,Japan,Suzuka,
2016,18,United States Grand Prix,USA,Austin,
2016,19,Mexican Grand Prix,Mexico,Mexico City,
2016,20,Brazilian Grand Prix,Brazil,São Paulo,
2016,21,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2017,1,Australian Grand Prix,Australia,Melbourne,
2017,2,Chinese Grand Prix,China,Shanghai,
2017,3,Bahrain Grand Prix,Bahrain,Sakhir,
2017,4,Russian Grand Prix,Russia,Sochi,
2017,5,Spanish Grand Prix,Spain,Montmeló,
2017,6,Monaco Grand Prix,Monaco,Monte-Carlo,
2017,7,Canadian Grand Prix,Canada,Montreal,
2017,8,Azerbaijan Grand Prix,Azerbaijan,Baku,
2017,9,Austrian Grand Prix,Austria,Spielberg,
2017,10,British Grand Prix,UK,Silverstone,
2017,11,Hungarian Grand Prix,Hungary,Budapest,
2017,12,Belgian Grand Prix,Belgium,Spa,
2017,13,Italian Grand Prix,Italy,Monza,
2017,14,Singapore Grand Prix,Singapore,Marina Bay,
2017,15,Malaysian Grand Prix,Malaysia,Kuala Lumpur,
2017,16,Japanese Grand Prix,Japan,Suzuka,
2017,17,United States Grand Prix,USA,Austin,
2017,18,Mexican Grand Prix,Mexico,Mexico City,
2017,19,Brazilian Grand Prix,Brazil,São Paulo,
2017,20,Abu Dhabi Grand Prix,UAE,Abu Dhabi,
2018,1,Australian Grand Prix,Australia,Melbourne,2018-03-23
2018,2,Bahrain Grand Prix,Bahrain,Sakhir,2018-04-06
2018,3,Chinese Grand Prix,China,Shanghai,2018-04-13
2018,4,Azerbaijan Grand Prix,Azerbaijan,Baku,2018-04-27
2018,5,Spanish Grand Prix,Spain,Barcelona,2018-05-11
2018,6,Monaco Grand Prix,Monaco,Monte Carlo,2018-05-24
2018,7,Canadian Grand Prix,Canada,Montréal,2018-06-08
2018,8,French Grand Prix,France,Le Castellet,2018-06-22
2018,9,Austrian Grand Prix,Austria,Spielberg,2018-06-29
2018,10,British Grand Prix,Great Britain,Silverstone,2018-07-06
2018,11,German Grand Prix,Germany,Hockenheim,2018-07-20
2018,12,Hungarian Grand Prix,Hungary,Budapest,2018-07-27
2018,13,Belgian Grand Prix,Belgium,Spa-Francorchamps,2018-08-24
2018,14,Italian Grand Prix,Italy,Monza,2018-08-31
2018,15,Singapore Grand Prix,Singapore,Singapore,2018-09-14
2018,16,Russian Grand Prix,Russia,Sochi,2018-09-28
2018,17,Japanese Grand Prix,Japan,Suzuka,2018-10-05
2018,18,United States Grand Prix,United States,Austin,2018-10-19
2018,19,Mexican Grand Prix,Mexico,Mexico City,2018-10-26
2018,20,Brazilian Grand Prix,Brazil,São Paulo,2018-11-09
2018,21,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2018-11-23
2019,1,Australian Grand Prix,Australia,Melbourne,2019-03-15
2019,2,Bahrain Grand Prix,Bahrain,Sakhir,2019-03-29
2019,3,Chinese Grand Prix,China,Shanghai,2019-04-12
2019,4,Azerbaijan Grand Prix,Azerbaijan,Baku,2019-04-26
2019,5,Spanish Grand Prix,Spain,Barcelona,2019-05-10
2019,6,Monaco Grand Prix,Monaco,Monte Carlo,2019-05-23
2019,7,Canadian Grand Prix,Canada,Montréal,2019-06-07
2019,8,French Grand Prix,France,Le Castellet,2019-06-21
2019,9,Austrian Grand Prix,Austria,Spielberg,2019-06-28
2019,10,British Grand Prix,Great Britain,Silverstone,2019-07-12
2019,11,German Grand Prix,Germany,Hockenheim,2019-07-26
2019,12,Hungarian Grand Prix,Hungary,Budapest,2019-08-02
2019,13,Belgian Grand Prix,Belgium,Spa-Francorchamps,2019-08-30
2019,14,Italian Grand Prix,Italy,Monza,2019-09-06
2019,15,Singapore Grand Prix,Singapore,Singapore,2019-09-20
2019,16,Russian Grand Prix,Russia,Sochi,2019-09-27
2019,17,Japanese Grand Prix,Japan,Suzuka,2019-10-11
2019,18,Mexican Grand Prix,Mexico,Mexico City,2019-10-25
2019,19,United States Grand Prix,United States,Austin,2019-11-01
2019,20,Brazilian Grand Prix,Brazil,São Paulo,2019-11-15
2019,21,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,2019-11-29
2020,0,Pre-Season Test 1,Spain,Barcelona,2020-02-19
2020,0,Pre-Season Test 2,Spain,Barcelona,2020-02-26
2020,1,Austrian Grand Prix,Austria,Spielberg,2020-07-03
2020,2,Styrian Grand Prix,Austria,Spielberg,2020-07-10
2020,3,Hungarian Grand Prix,Hungary,Budapest,2020-07-17
2020,4,British Grand Prix,Great Britain,Silverstone,2020-07-31
2020,5,70th Anniversary Grand Prix,Great Britain,Silverstone,2020-08-07
2020,6,Spanish Grand Prix,Spain,Barcelona,2020-08-14
2020,7,Belgian Grand Prix,Belgium,Spa-Francorchamps,2020-08-28
2020,8,Italian Grand Prix,Italy,Monza,2020-09-04
2020,9,Tuscan Grand Prix,Italy,Mugello,2020-09-11
2020,10,Russian Grand Prix,Russia,Sochi,2020-09-25
2020,11,Eifel Grand Prix,Germany,Nürburgring,2020-10-09
2020,12,Portuguese Grand Prix,Portugal,Portimão,2020-10-23
2020,13,Emilia Romagna Grand Prix,Italy,Imola,2020-10-31
2020,14,Turkish Grand Prix,Turkey,Istanbul,2020-11-13
2020,15,Bahrain Grand Prix,Bahrain,Sakhir,2020-11-27
2020,16,Sakhir Grand Prix,Bahrain,Sakhir,2020-12-04
2020,17,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,2020-12-11
