season,round_num,event_name,country,location,event_date
1962,8,United States Grand Prix,USA,New York State,
1962,9,South African Grand Prix,South Africa,Eastern Cape Province,
1963,1,Monaco Grand Prix,Monaco,Monte-Carlo,
1963,2,Belgian Grand Prix,Belgium,Spa,
1963,3,Dutch Grand Prix,Netherlands,Zandvoort,
1963,4,French Grand Prix,France,Reims,
1963,5,British Grand Prix,UK,Silverstone,
1963,6,German Grand Prix,Germany,Nürburg,
1963,7,Italian Grand Prix,Italy,Monza,
1963,8,United States Grand Prix,USA,New York State,
1963,9,Mexican Grand Prix,Mexico,Mexico City,
1963,10,South African Grand Prix,South Africa,Eastern Cape Province,
1964,1,Monaco Grand Prix,Monaco,Monte-Carlo,
1964,2,Dutch Grand Prix,Netherlands,Zandvoort,
1964,3,Belgian Grand Prix,Belgium,Spa,
1964,4,French Grand Prix,France,Rouen,
1964,5,British Grand Prix,UK,Kent,
1964,6,German Grand Prix,Germany,Nürburg,
1964,7,Austrian Grand Prix,Austria,Styria,
1964,8,Italian Grand Prix,Italy,Monza,
1964,9,United States Grand Prix,USA,New York State,
1964,10,Mexican Grand Prix,Mexico,Mexico City,
1965,1,South African Grand Prix,South Africa,Eastern Cape Province,
1965,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1965,3,Belgian Grand Prix,Belgium,Spa,
1965,4,French Grand Prix,France,Clermont-Ferrand,
1965,5,British Grand Prix,UK,Silverstone,
1965,6,Dutch Grand Prix,Netherlands,Zandvoort,
1965,7,German Grand Prix,Germany,Nürburg,
1965,8,Italian Grand Prix,Italy,Monza,
1965,9,United States Grand Prix,USA,New York State,
1965,10,Mexican Grand Prix,Mexico,Mexico City,
1966,1,Monaco Grand Prix,Monaco,Monte-Carlo,
1966,2,Belgian Grand Prix,Belgium,Spa,
1966,3,French Grand Prix,France,Reims,
1966,4,British Grand Prix,UK,Kent,
1966,5,Dutch Grand Prix,Netherlands,Zandvoort,
1966,6,German Grand Prix,Germany,Nürburg,
1966,7,Italian Grand Prix,Italy,Monza,
1966,8,United States Grand Prix,USA,New York State,
1966,9,Mexican Grand Prix,Mexico,Mexico City,
1967,1,South African Grand Prix,South Africa,Midrand,
1967,2,Monaco Grand Prix,Monaco,Monte-Carlo,
1967,3,Dutch Grand Prix,Netherlands,Zandvoort,
1967,4,Belgian Grand Prix,Belgium,Spa,
1967,5,French Grand Prix,France,Le Mans,
1967,6,British Grand Prix,UK,Silverstone,
1967,7,German Grand Prix,Germany,Nürburg,
1967,8,Canadian Grand Prix,Canada,Ontario,
1967,9,Italian Grand Prix,Italy,Monza,
1967,10,United States Grand Prix,USA,New York State,
1967,11,Mexican Grand Prix,Mexico,Mexico City,
1968,1,South African Grand Prix,South Africa,Midrand,
1968,2,Spanish Grand Prix,Spain,Madrid,
1968,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1968,4,Belgian Grand Prix,Belgium,Spa,
1968,5,Dutch Grand Prix,Netherlands,Zandvoort,
1968,6,French Grand Prix,France,Rouen,
1968,7,British Grand Prix,UK,Kent,
1968,8,German Grand Prix,Germany,Nürburg,
1968,9,Italian Grand Prix,Italy,Monza,
1968,10,Canadian Grand Prix,Canada,Quebec,
1968,11,United States Grand Prix,USA,New York State,
1968,12,Mexican Grand Prix,Mexico,Mexico City,
1969,1,South African Grand Prix,South Africa,Midrand,
1969,2,Spanish Grand Prix,Spain,Barcelona,
1969,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1969,4,Dutch Grand Prix,Netherlands,Zandvoort,
1969,5,French Grand Prix,France,Clermont-Ferrand,
1969,6,British Grand Prix,UK,Silverstone,
1969,7,German Grand Prix,Germany,Nürburg,
1969,8,Italian Grand Prix,Italy,Monza,
1969,9,Canadian Grand Prix,Canada,Ontario,
1969,10,United States Grand Prix,USA,New York State,
1969,11,Mexican Grand Prix,Mexico,Mexico City,
1970,1,South African Grand Prix,South Africa,Midrand,
1970,2,Spanish Grand Prix,Spain,Madrid,
1970,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1970,4,Belgian Grand Prix,Belgium,Spa,
1970,5,Dutch Grand Prix,Netherlands,Zandvoort,
1970,6,French Grand Prix,France,Clermont-Ferrand,
1970,7,British Grand Prix,UK,Kent,
1970,8,German Grand Prix,Germany,Hockenheim,
1970,9,Austrian Grand Prix,Austria,Spielberg,
1970,10,Italian Grand Prix,Italy,Monza,
1970,11,Canadian Grand Prix,Canada,Quebec,
1970,12,United States Grand Prix,USA,New York State,
1970,13,Mexican Grand Prix,Mexico,Mexico City,
1971,1,South African Grand Prix,South Africa,Midrand,
1971,2,Spanish Grand Prix,Spain,Barcelona,
1971,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1971,4,Dutch Grand Prix,Netherlands,Zandvoort,
1971,5,French Grand Prix,France,Le Castellet,
1971,6,British Grand Prix,UK,Silverstone,
1971,7,German Grand Prix,Germany,Nürburg,
1971,8,Austrian Grand Prix,Austria,Spielberg,
1971,9,Italian Grand Prix,Italy,Monza,
1971,10,Canadian Grand Prix,Canada,Ontario,
1971,11,United States Grand Prix,USA,New York State,
1972,1,Argentine Grand Prix,Argentina,Buenos Aires,
1972,2,South African Grand Prix,South Africa,Midrand,
1972,3,Spanish Grand Prix,Spain,Madrid,
1972,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1972,5,Belgian Grand Prix,Belgium,Brussels,
1972,6,French Grand Prix,France,Clermont-Ferrand,
1972,7,British Grand Prix,UK,Kent,
1972,8,German Grand Prix,Germany,Nürburg,
1972,9,Austrian Grand Prix,Austria,Spielberg,
1972,10,Italian Grand Prix,Italy,Monza,
1972,11,Canadian Grand Prix,Canada,Ontario,
1972,12,United States Grand Prix,USA,New York State,
1973,1,Argentine Grand Prix,Argentina,Buenos Aires,
1973,2,Brazilian Grand Prix,Brazil,São Paulo,
1973,3,South African Grand Prix,South Africa,Midrand,
1973,4,Spanish Grand Prix,Spain,Barcelona,
1973,5,Belgian Grand Prix,Belgium,Heusden-Zolder,
